Frequency (Hz),Trace 1 (V),Phase (deg),Trace 2 (V),Phase (deg)
0,0.002424472685650915,180,0.0001119454350710608,180
9.765625,0.002412023638154365,177.8216969159833,0.0001177811629859805,148.8207557759061
19.53125,0.001657944656774553,177.4672483524066,0.0001108875365392597,122.9888429869158
29.296875,0.0005408980332080544,177.7388340472498,9.168920067417466e-05,96.06253101703676
39.0625,0.0001935336606952147,12.90964425384437,4.848023183600977e-05,69.42197905429984
48.828125,0.0002368595582964331,27.41420341661073,2.497587893564559e-05,179.4789055588939
58.59375,0.0001504078807418602,44.73437502095643,2.513033608381934e-05,139.1600400709378
68.359375,9.543675632111969e-05,125.6462320949162,3.054951039743109e-05,99.18340134454884
78.125,0.0001808197260529437,150.1544820773949,3.470595997271089e-05,84.21602730597962
87.890625,0.0002766279357410376,168.5300547728173,2.23255322552563e-05,28.96235172473589
97.65625,0.0002934340828381125,16.67962053897088,3.500696240405814e-05,157.9624899204841
107.421875,0.0002354341056587747,47.99678408971231,3.088789815083338e-05,134.1956510521898
117.1875,0.0001829184072893094,54.73769599233914,3.92183670910962e-05,96.97867093136273
126.953125,0.0001525464586957263,50.51094998179715,4.444709342429536e-05,77.84325266649218
136.71875,9.741164952920622e-05,19.99536535882316,3.752144830661704e-05,33.98534381359837
146.484375,0.0001431859112989935,154.7709870634869,4.820304674848248e-05,7.498641197107713
156.25,0.0001799843303930333,179.1570196672126,3.881723887383288e-05,176.9374514150289
166.015625,0.0001950356931756849,17.66728491957288,2.344412830712604e-05,135.5747546583459
175.78125,0.0001833533621822678,9.023891251017179,2.138743804069335e-05,73.72334858861004
185.546875,0.0002407571381155211,7.821908599720439,4.094690876384515e-05,44.26397138980094
195.3125,0.0002318942184344048,12.24886159620417,7.22678316206791e-05,53.47742230489852
205.078125,9.984209315277329e-05,2.984872563981167,9.657048692620588e-05,63.56790695353712
214.84375,8.968423501896775e-05,133.4637849591923,9.130938495999048e-05,78.40632512865169
224.609375,0.0001362066904501437,112.0539725844626,6.592730891765917e-05,103.9465219544362
234.375,0.0002422050093624549,78.48595329622938,3.830474720718261e-05,129.9726879895961
244.140625,0.0003437879387133135,74.77647116096657,3.194710705253362e-05,11.54586151392043
253.90625,0.0002508417882235248,71.60492634337167,6.380677009895335e-05,35.20795479735826
263.671875,0.0001498670888485278,79.20866651028851,6.472015217441576e-05,36.11999184801263
273.4375,0.0001769242281885385,111.0024727283649,5.145553486123415e-05,22.90670441148745
283.203125,0.0001375926788429805,132.2449477074939,5.514189460855558e-05,6.355598799652829
292.96875,0.0001495002759354082,146.9961760383691,3.781084500101827e-05,167.8386851660613
302.734375,0.0002042847893564231,125.3089017881942,3.963477221986696e-05,100.0909729411759
312.5,0.0001804722981814225,90.36283127832229,7.492586423953555e-05,83.42836996989966
322.265625,0.0002209730636070284,77.21662435138856,8.723194913974967e-05,68.0897680026403
