Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,5.747194286433404,0
4.8828125,5.403089215356603,0.08857114730226853
9.765625,1.98635290954186,179.1069831002661
14.6484375,-7.54636895488083,176.6976787650179
19.53125,-23.10604796070945,167.3654452451589
24.4140625,-32.88102910237352,149.7565176951413
29.296875,-35.85573283191118,9.396383206808968
34.1796875,-33.57507985973454,67.44908698859201
39.0625,-33.10348079110182,120.3835576288869
43.9453125,-32.12131993552057,171.0234365250733
48.828125,-29.99956478078586,174.3374206175358
53.7109375,-26.44572264687846,147.497831433183
58.59375,-23.80913213753912,145.2673146748763
63.4765625,-23.18922775823783,153.7160492889554
68.359375,-22.63689985780255,151.7866608910191
73.2421875,-21.37445616453759,157.5808504511367
78.125,-21.59519273404496,177.5144629146151
83.0078125,-25.72295003600328,7.664281638580942
87.890625,-37.35881325144377,173.262040816972
92.7734375,-32.04466081287615,146.1645043612293
97.65625,-25.36948476428041,154.6886247120738
102.5390625,-25.31710427299842,177.183008763843
107.421875,-24.88625230980798,12.86024628761932
112.3046875,-24.65110669574843,11.69005726462597
117.1875,-25.39726876434214,12.95693723642791
122.0703125,-25.98710802731405,20.03154734851443
126.953125,-27.83307958415065,25.38746288972737
131.8359375,-30.30532581215716,29.53779192022071
136.71875,-28.99437562640843,21.64349458316513
141.6015625,-27.56901454494979,3.826708048949196
146.484375,-28.87075040594842,159.3110396405254
151.3671875,-29.20824686120611,137.7983950074727
156.25,-33.14516640577774,144.4609735239902
161.1328125,-35.72041528048375,69.9150685549489
166.015625,-28.97730358895774,65.46156117839251
170.8984375,-27.79956043723456,49.1814224014464
175.78125,-31.3102723617604,35.68069828212523
180.6640625,-30.97932554156211,159.1752301391804
185.546875,-25.42838457398292,126.6931098047317
190.4296875,-22.89662365214829,115.4799396446987
195.3125,-23.6790954740314,122.6686189869628
200.1953125,-26.93139640930624,130.9942690223507
205.078125,-38.57650646172597,99.44296579794633
209.9609375,-29.22986844382796,144.4264933259248
214.84375,-24.31673909390523,146.8605004081701
219.7265625,-22.7467063722259,158.624746862258
224.609375,-23.14883134720046,158.4603789907511
229.4921875,-27.05213884703427,156.6465969666855
234.375,-36.07655112328989,178.4122549534704
239.2578125,-41.23186008383063,114.028280448622
244.140625,-34.90659072607058,115.2667646765284
249.0234375,-30.19358847222985,73.21701372361379
253.90625,-27.29304134689436,48.6061332973726
258.7890625,-25.14237683350242,27.80573316459094
263.671875,-23.10883570804005,18.95329479755257
268.5546875,-23.95690720475825,17.70141491303326
273.4375,-26.2906059953173,21.79675216695299
278.3203125,-27.24047863656965,34.98404184572971
283.203125,-31.52120618570118,39.07296956074637
288.0859375,-47.59576047420595,43.06687253128427
292.96875,-53.34626161178329,39.797519607883
297.8515625,-33.04264015964088,129.8219373079015
302.734375,-27.19144503719054,116.959156584446
307.6171875,-28.68136085840211,118.7875805066718
312.5,-30.32755057381736,120.798151349514
317.3828125,-30.513522826271,100.2850730739946
322.265625,-36.28153751437131,64.24107795605715
327.1484375,-48.43417747569053,164.1908988521716
332.03125,-36.99561938850809,132.4747873189536
336.9140625,-29.04185262363401,124.9772422315967
341.796875,-25.96379228262415,132.6059519351941
346.6796875,-24.52252767521799,136.7239772566383
351.5625,-24.57078266688763,127.5960303375538
356.4453125,-26.20052756317818,106.9034660739031
361.328125,-26.46369559594543,71.63644250571016
366.2109375,-24.21940871231182,59.86432495234323
371.09375,-23.7083308323037,55.90302413949443
375.9765625,-25.5922141714666,48.89234980259241
380.859375,-30.39336075001808,40.82145716819401
385.7421875,-32.06295431661339,5.902448552324567
390.625,-29.07212706602195,178.3932189864554
395.5078125,-29.53665784184039,21.38102529022798
400.390625,-28.84715214721161,66.57967157376903
405.2734375,-27.86964975922693,93.31884412872402
410.15625,-30.62182191053215,110.6639382636078
415.0390625,-41.72463615255177,128.746278070817
419.921875,-31.83352530426965,115.6345407616511
424.8046875,-25.40889390626596,115.2689875284807
429.6875,-24.47604465351828,117.0620443298791
434.5703125,-25.28698111846152,114.566049044738
439.453125,-26.26344255489812,97.85584777401277
444.3359375,-28.22404316384601,84.78391690948709
449.21875,-34.63331781694031,64.29494688065802
454.1015625,-35.56570948542257,169.5674891585582
458.984375,-31.96072386923834,150.8474906242816
463.8671875,-33.59666424405896,146.38614384918
468.75,-40.69177979754254,152.5709663270691
473.6328125,-42.78587275768673,166.3385011992608
478.515625,-38.72260123698999,128.4891914905932
483.3984375,-31.87400135158399,96.72063706209717
488.28125,-28.16888617946854,115.4527850788866
493.1640625,-25.41237412303456,145.9149768665668
498.046875,-25.22134063529674,154.6471019588031
502.9296875,-27.2586670677594,150.5457594169474
507.8125,-28.64501731006425,118.3481288019571
512.6953125,-25.84297688745358,70.02422129495713
